cnty_fips,display_name,Value,theme_range,,year
48001,"""Anderson, (TX)""",71.1,65.9 - 103.1 (50),,2014-2016
48003,"""Andrews, (TX)""",45.7,42.5 - 50.7 (49),,2014-2016
48005,"""Angelina, (TX)""",63.6,58.8 - 65.8 (50),,2014-2016
48007,"""Aransas, (TX)""",37,19.6 - 42.4 (52),,2014-2016
48009,"""Archer, (TX)""",56.6,50.8 - 58.7 (51),,2014-2016
48011,"""Armstrong, (TX)""",51.6,50.8 - 58.7 (51),,2014-2016
48013,"""Atascosa, (TX)""",54.6,50.8 - 58.7 (51),,2014-2016
48015,"""Austin, (TX)""",46.9,42.5 - 50.7 (49),,2014-2016
48017,"""Bailey, (TX)""",41.9,19.6 - 42.4 (52),,2014-2016
48019,"""Bandera, (TX)""",38.7,19.6 - 42.4 (52),,2014-2016
48021,"""Bastrop, (TX)""",60.3,58.8 - 65.8 (50),,2014-2016
48023,"""Baylor, (TX)""",69,65.9 - 103.1 (50),,2014-2016
48025,"""Bee, (TX)""",76.7,65.9 - 103.1 (50),,2014-2016
48027,"""Bell, (TX)""",81.6,65.9 - 103.1 (50),,2014-2016
48029,"""Bexar, (TX)""",42.4,19.6 - 42.4 (52),,2014-2016
48031,"""Blanco, (TX)""",35.3,19.6 - 42.4 (52),,2014-2016
48033,"""Borden, (TX)""",59.3,58.8 - 65.8 (50),,2014-2016
48035,"""Bosque, (TX)""",49.5,42.5 - 50.7 (49),,2014-2016
48037,"""Bowie, (TX)""",71.4,65.9 - 103.1 (50),,2014-2016
48039,"""Brazoria, (TX)""",68.3,65.9 - 103.1 (50),,2014-2016
48041,"""Brazos, (TX)""",50.3,42.5 - 50.7 (49),,2014-2016
48043,"""Brewster, (TX)""",28.1,19.6 - 42.4 (52),,2014-2016
48045,"""Briscoe, (TX)""",32,19.6 - 42.4 (52),,2014-2016
48047,"""Brooks, (TX)""",93.8,65.9 - 103.1 (50),,2014-2016
48049,"""Brown, (TX)""",36.3,19.6 - 42.4 (52),,2014-2016
48051,"""Burleson, (TX)""",62.3,58.8 - 65.8 (50),,2014-2016
48053,"""Burnet, (TX)""",38.5,19.6 - 42.4 (52),,2014-2016
48055,"""Caldwell, (TX)""",55.3,50.8 - 58.7 (51),,2014-2016
48057,"""Calhoun, (TX)""",42,19.6 - 42.4 (52),,2014-2016
48059,"""Callahan, (TX)""",59.8,58.8 - 65.8 (50),,2014-2016
48061,"""Cameron, (TX)""",53.5,50.8 - 58.7 (51),,2014-2016
48063,"""Camp, (TX)""",47.5,42.5 - 50.7 (49),,2014-2016
48065,"""Carson, (TX)""",46.6,42.5 - 50.7 (49),,2014-2016
48067,"""Cass, (TX)""",81.2,65.9 - 103.1 (50),,2014-2016
48069,"""Castro, (TX)""",44.4,42.5 - 50.7 (49),,2014-2016
48071,"""Chambers, (TX)""",60,58.8 - 65.8 (50),,2014-2016
