,cnty_fips,display_name,Y,theme_range,gender,race,year
0,48001,"""Anderson, (TX)""",22.2,12.1 - 23.9 (13),1,2,2006-2008
1,48003,"""Andrews, (TX)""",-1.0,,1,2,2006-2008
2,48005,"""Angelina, (TX)""",37.6,34.7 - 44.9 (13),1,2,2006-2008
3,48007,"""Aransas, (TX)""",-1.0,,1,2,2006-2008
4,48009,"""Archer, (TX)""",-1.0,,1,2,2006-2008
5,48011,"""Armstrong, (TX)""",-1.0,,1,2,2006-2008
6,48013,"""Atascosa, (TX)""",-1.0,,1,2,2006-2008
7,48015,"""Austin, (TX)""",-1.0,,1,2,2006-2008
8,48017,"""Bailey, (TX)""",-1.0,,1,2,2006-2008
9,48019,"""Bandera, (TX)""",-1.0,,1,2,2006-2008
10,48021,"""Bastrop, (TX)""",52.5,45.0 - 62.6 (12),1,2,2006-2008
11,48023,"""Baylor, (TX)""",-1.0,,1,2,2006-2008
12,48025,"""Bee, (TX)""",-1.0,,1,2,2006-2008
13,48027,"""Bell, (TX)""",26.9,24.0 - 28.1 (13),1,2,2006-2008
14,48029,"""Bexar, (TX)""",28.1,24.0 - 28.1 (13),1,2,2006-2008
15,48031,"""Blanco, (TX)""",-1.0,,1,2,2006-2008
16,48033,"""Borden, (TX)""",-1.0,,1,2,2006-2008
17,48035,"""Bosque, (TX)""",-1.0,,1,2,2006-2008
18,48037,"""Bowie, (TX)""",35.2,34.7 - 44.9 (13),1,2,2006-2008
19,48039,"""Brazoria, (TX)""",25.6,24.0 - 28.1 (13),1,2,2006-2008
20,48041,"""Brazos, (TX)""",27.4,24.0 - 28.1 (13),1,2,2006-2008
21,48043,"""Brewster, (TX)""",-1.0,,1,2,2006-2008
22,48045,"""Briscoe, (TX)""",-1.0,,1,2,2006-2008
23,48047,"""Brooks, (TX)""",-1.0,,1,2,2006-2008
24,48049,"""Brown, (TX)""",-1.0,,1,2,2006-2008
25,48051,"""Burleson, (TX)""",-1.0,,1,2,2006-2008
26,48053,"""Burnet, (TX)""",-1.0,,1,2,2006-2008
27,48055,"""Caldwell, (TX)""",-1.0,,1,2,2006-2008
28,48057,"""Calhoun, (TX)""",-1.0,,1,2,2006-2008
29,48059,"""Callahan, (TX)""",-1.0,,1,2,2006-2008
30,48061,"""Cameron, (TX)""",-1.0,,1,2,2006-2008
31,48063,"""Camp, (TX)""",-1.0,,1,2,2006-2008
32,48065,"""Carson, (TX)""",-1.0,,1,2,2006-2008
33,48067,"""Cass, (TX)""",45.8,45.0 - 62.6 (12),1,2,2006-2008
34,48069,"""Castro, (TX)""",-1.0,,1,2,2006-2008
35,48071,"""Chambers, (TX)""",-1.0,,1,2,2006-2008
36,48073,"""Cherokee, (TX)""",25.5,24.0 - 28.1 (13),1,2,2006-2008
37,48075,"""Childress, (TX)""",-1.0,,1,2,2006-2008
38,48077,"""Clay, (TX)""",-1.0,,1,2,2006-2008
39,48079,"""Cochran, (TX)""",-1.0,,1,2,2006-2008
40,48081,"""Coke, (TX)""",-1.0,,1,2,2006-2008
41,48083,"""Coleman, (TX)""",-1.0,,1,2,2006-2008
42,48085,"""Collin, (TX)""",38.2,34.7 - 44.9 (13),1,2,2006-2008
43,48087,"""Collingsworth, (TX)""",-1.0,,1,2,2006-2008
44,48089,"""Colorado, (TX)""",44.9,34.7 - 44.9 (13),1,2,2006-2008
45,48091,"""Comal, (TX)""",-1.0,,1,2,2006-2008
46,48093,"""Comanche, (TX)""",-1.0,,1,2,2006-2008
47,48095,"""Concho, (TX)""",-1.0,,1,2,2006-2008
48,48097,"""Cooke, (TX)""",-1.0,,1,2,2006-2008
49,48099,"""Coryell, (TX)""",-1.0,,1,2,2006-2008
50,48101,"""Cottle, (TX)""",-1.0,,1,2,2006-2008
51,48103,"""Crane, (TX)""",-1.0,,1,2,2006-2008
52,48105,"""Crockett, (TX)""",-1.0,,1,2,2006-2008
53,48107,"""Crosby, (TX)""",-1.0,,1,2,2006-2008
54,48109,"""Culberson, (TX)""",-1.0,,1,2,2006-2008
55,48111,"""Dallam, (TX)""",-1.0,,1,2,2006-2008
56,48113,"""Dallas, (TX)""",26.5,24.0 - 28.1 (13),1,2,2006-2008
57,48115,"""Dawson, (TX)""",-1.0,,1,2,2006-2008
58,48117,"""Deaf Smith, (TX)""",-1.0,,1,2,2006-2008
59,48119,"""Delta, (TX)""",-1.0,,1,2,2006-2008
60,48121,"""Denton, (TX)""",34.7,34.7 - 44.9 (13),1,2,2006-2008
61,48123,"""DeWitt, (TX)""",-1.0,,1,2,2006-2008
62,48125,"""Dickens, (TX)""",-1.0,,1,2,2006-2008
63,48127,"""Dimmit, (TX)""",-1.0,,1,2,2006-2008
64,48129,"""Donley, (TX)""",-1.0,,1,2,2006-2008
65,48131,"""Duval, (TX)""",-1.0,,1,2,2006-2008
66,48133,"""Eastland, (TX)""",-1.0,,1,2,2006-2008
67,48135,"""Ector, (TX)""",-1.0,,1,2,2006-2008
68,48137,"""Edwards, (TX)""",-1.0,,1,2,2006-2008
69,48139,"""Ellis, (TX)""",33.8,28.2 - 34.6 (12),1,2,2006-2008
70,48141,"""El Paso, (TX)""",19.8,12.1 - 23.9 (13),1,2,2006-2008
71,48143,"""Erath, (TX)""",-1.0,,1,2,2006-2008
72,48145,"""Falls, (TX)""",48.6,45.0 - 62.6 (12),1,2,2006-2008
73,48147,"""Fannin, (TX)""",-1.0,,1,2,2006-2008
74,48149,"""Fayette, (TX)""",-1.0,,1,2,2006-2008
75,48151,"""Fisher, (TX)""",-1.0,,1,2,2006-2008
76,48153,"""Floyd, (TX)""",-1.0,,1,2,2006-2008
77,48155,"""Foard, (TX)""",-1.0,,1,2,2006-2008
78,48157,"""Fort Bend, (TX)""",27.0,24.0 - 28.1 (13),1,2,2006-2008
79,48159,"""Franklin, (TX)""",-1.0,,1,2,2006-2008
80,48161,"""Freestone, (TX)""",36.1,34.7 - 44.9 (13),1,2,2006-2008
