,cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,povpct,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,year,Y
0,48001,"""Anderson, (TX)""",20.0,20.0 - 23.7 (52),10.2,34.3,24.9,20.5,0.2,0.5,20.9,59.6,17.2,14.1,57747,2005-2007,1154.94
1,48003,"""Andrews, (TX)""",20.6,20.0 - 23.7 (52),8.8,32.1,24.2,11.7,0.0,0.2,1.5,41.1,55.3,10.2,17577,2005-2007,362.09
2,48005,"""Angelina, (TX)""",32.5,27.8 - 62.1 (49),12.1,40.0,32.4,19.0,0.0,1.0,14.6,61.2,21.5,15.3,87700,2005-2007,2850.25
3,48007,"""Aransas, (TX)""",21.3,20.0 - 23.7 (52),10.2,32.1,22.8,18.8,0.0,2.0,1.5,67.6,27.0,25.9,24832,2005-2007,528.92
4,48009,"""Archer, (TX)""",15.6,11.5 - 16.0 (51),9.0,27.6,21.8,10.5,0.2,0.3,0.8,88.5,8.3,18.7,8793,2005-2007,137.17
5,48011,"""Armstrong, (TX)""",15.2,11.5 - 16.0 (51),8.8,29.3,22.6,10.8,1.3,0.0,1.2,86.6,9.9,20.8,1929,2005-2007,29.32
6,48013,"""Atascosa, (TX)""",25.8,23.8 - 27.7 (49),10.6,33.8,31.5,16.3,0.1,0.3,0.7,34.2,63.5,13.9,48139,2005-2007,1241.99
7,48015,"""Austin, (TX)""",21.3,20.0 - 23.7 (52),8.5,29.5,24.5,14.3,0.0,0.1,8.8,63.2,25.9,18.0,29292,2005-2007,623.92
8,48017,"""Bailey, (TX)""",31.0,27.8 - 62.1 (49),8.6,29.2,23.2,16.6,0.0,1.1,1.5,34.6,62.6,14.3,7098,2005-2007,220.04
9,48019,"""Bandera, (TX)""",15.2,11.5 - 16.0 (51),8.1,28.5,21.1,14.6,0.2,0.2,0.9,78.7,17.9,25.5,21316,2005-2007,324.0
10,48021,"""Bastrop, (TX)""",21.8,20.0 - 23.7 (52),8.7,34.5,18.7,13.2,0.4,0.8,7.7,53.7,35.9,13.8,80306,2005-2007,1750.67
11,48023,"""Baylor, (TX)""",25.2,23.8 - 27.7 (49),9.2,28.7,24.8,17.6,0.0,0.0,3.2,83.8,10.1,23.9,3602,2005-2007,90.77
12,48025,"""Bee, (TX)""",40.0,27.8 - 62.1 (49),8.9,28.6,24.4,27.0,0.4,0.4,8.2,32.2,58.2,11.7,32729,2005-2007,1309.16
13,48027,"""Bell, (TX)""",20.1,20.0 - 23.7 (52),10.3,31.4,24.9,12.9,0.2,3.4,20.9,47.2,24.0,10.0,336506,2005-2007,6763.77
14,48029,"""Bexar, (TX)""",18.6,16.1 - 19.9 (51),9.4,27.9,21.0,16.3,0.1,2.7,7.0,28.4,59.7,11.4,1892004,2005-2007,35191.27
15,48031,"""Blanco, (TX)""",13.9,11.5 - 16.0 (51),8.4,28.7,23.9,10.7,0.0,0.5,0.0,77.5,19.1,23.7,11089,2005-2007,154.14
16,48033,"""Borden, (TX)""",26.5,23.8 - 27.7 (49),9.3,28.2,21.6,10.6,0.0,0.0,0.0,92.3,7.6,23.6,602,2005-2007,15.95
17,48035,"""Bosque, (TX)""",23.8,23.8 - 27.7 (49),8.4,28.8,23.5,15.8,0.3,0.3,1.3,78.6,17.5,24.1,17955,2005-2007,427.33
18,48037,"""Bowie, (TX)""",29.6,27.8 - 62.1 (49),11.3,37.7,31.4,19.3,0.8,0.9,23.8,64.4,7.4,15.8,93635,2005-2007,2771.6
19,48039,"""Brazoria, (TX)""",19.9,16.1 - 19.9 (51),10.3,29.5,20.5,9.9,0.3,6.2,12.9,49.0,29.6,11.1,345995,2005-2007,6885.3
20,48041,"""Brazos, (TX)""",17.1,16.1 - 19.9 (51),9.4,29.4,20.4,24.9,0.1,6.0,10.1,56.6,25.0,8.5,214231,2005-2007,3663.35
21,48043,"""Brewster, (TX)""",15.1,11.5 - 16.0 (51),8.9,28.5,25.6,14.9,1.6,1.0,0.1,51.7,44.2,20.2,9220,2005-2007,139.22
22,48045,"""Briscoe, (TX)""",17.1,16.1 - 19.9 (51),8.6,27.2,23.4,15.4,0.0,1.0,1.6,60.5,32.2,23.1,1591,2005-2007,27.21
23,48047,"""Brooks, (TX)""",34.7,27.8 - 62.1 (49),9.1,29.5,22.2,32.2,0.0,0.0,0.0,5.7,94.1,14.8,7251,2005-2007,251.61
24,48049,"""Brown, (TX)""",21.2,20.0 - 23.7 (52),9.9,32.6,27.2,17.1,0.2,0.6,3.6,72.6,21.4,19.2,37787,2005-2007,801.08
25,48051,"""Burleson, (TX)""",18.0,16.1 - 19.9 (51),8.9,30.2,25.7,14.4,0.1,0.3,12.3,65.7,20.1,20.1,17596,2005-2007,316.73
26,48053,"""Burnet, (TX)""",14.7,11.5 - 16.0 (51),8.8,28.8,25.0,11.5,0.6,0.7,1.5,74.1,21.8,21.5,45017,2005-2007,661.75
27,48055,"""Caldwell, (TX)""",17.2,16.1 - 19.9 (51),9.7,28.9,26.8,16.6,0.2,1.0,6.0,41.0,50.6,13.2,40544,2005-2007,697.36
28,48057,"""Calhoun, (TX)""",17.1,16.1 - 19.9 (51),9.6,31.0,22.0,15.7,0.0,5.0,2.5,43.1,48.1,16.5,21821,2005-2007,373.14
29,48059,"""Callahan, (TX)""",16.7,16.1 - 19.9 (51),8.7,27.8,25.1,14.9,0.0,0.2,1.4,86.8,9.1,19.5,13660,2005-2007,228.12
