"","county","year","Y","E","SIR","total_pop"
"1","Anderson","2005-2007",1154.94,1305.71531952009,0.884526651969198,57747
"2","Anderson","2006-2008",981.7,1305.71531952009,0.751848420037544,17577
"3","Anderson","2007-2009",895.08,1305.71531952009,0.685509304071718,87700
"4","Anderson","2008-2010",923.95,1305.71531952009,0.707619789847906,24832
"5","Anderson","2009-2011",918.18,1305.71531952009,0.703200756147573,8793
"6","Anderson","2010-2012",848.88,1305.71531952009,0.650126399920007,1929
"7","Anderson","2011-2013",796.91,1305.71531952009,0.610324462067963,48139
"8","Anderson","2012-2014",895.08,1305.71531952009,0.685509304071718,29292
"9","Anderson","2013-2015",2483.12,1305.71531952009,1.90173153587005,7098
"10","Anderson","2014-2016",4105.81,1305.71531952009,3.14449094578216,21316
"11","Andrews","2005-2007",362.09,397.432908570223,0.911072012890501,80306
"12","Andrews","2006-2008",384.94,397.432908570223,0.968565993653704,3602
"13","Andrews","2007-2009",377.91,397.432908570223,0.950877473532683,32729
"14","Andrews","2008-2010",363.84,397.432908570223,0.915475271811097,336506
"15","Andrews","2009-2011",325.17,397.432908570223,0.818175830405712,1892004
"16","Andrews","2010-2012",291.78,397.432908570223,0.734161650200752,11089
"17","Andrews","2011-2013",253.11,397.432908570223,0.636862208795368,602
"18","Andrews","2012-2014",235.53,397.432908570223,0.592628327753044,17955
"19","Andrews","2013-2015",516.76,397.432908570223,1.30024461703249,93635
"20","Andrews","2014-2016",803.27,397.432908570223,2.02114616751237,345995
"21","Angelina","2005-2007",2850.25,1982.98151457067,1.43735580944995,214231
"22","Angelina","2006-2008",2666.08,1982.98151457067,1.34448051099318,9220
"23","Angelina","2007-2009",2341.59,1982.98151457067,1.18084308037888,1591
"24","Angelina","2008-2010",1990.79,1982.98151457067,1.00393774998504,7251
"25","Angelina","2009-2011",1701.38,1982.98151457067,0.857990852410122,37787
"26","Angelina","2010-2012",1552.29,1982.98151457067,0.78280608699274,17596
"27","Angelina","2011-2013",1429.51,1982.98151457067,0.720889221354896,45017
