"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","povpct","perc_aian","perc_api","perc_black","perc_white","perc_hisp","perc_65up","total_pop"
48001,"""Anderson, (TX)""",15.5,"13.5 - 16.5 (49)",10.2,34.3,24.9,20.5,0.2,0.5,20.9,59.6,17.2,14.1,57747
48003,"""Andrews, (TX)""",21.5,"20.1 - 24.2 (52)",8.8,32.1,24.2,11.7,0,0.2,1.5,41.1,55.3,10.2,17577
48005,"""Angelina, (TX)""",26.7,"24.3 - 52.5 (48)",12.1,40,32.4,19,0,1,14.6,61.2,21.5,15.3,87700
48007,"""Aransas, (TX)""",17,"16.6 - 20.0 (51)",10.2,32.1,22.8,18.8,0,2,1.5,67.6,27,25.9,24832
48009,"""Archer, (TX)""",17.8,"16.6 - 20.0 (51)",9,27.6,21.8,10.5,0.2,0.3,0.8,88.5,8.3,18.7,8793
48011,"""Armstrong, (TX)""",13.2,"4.4 - 13.4 (52)",8.8,29.3,22.6,10.8,1.3,0,1.2,86.6,9.9,20.8,1929
48013,"""Atascosa, (TX)""",23,"20.1 - 24.2 (52)",10.6,33.8,31.5,16.3,0.1,0.3,0.7,34.2,63.5,13.9,48139
48015,"""Austin, (TX)""",18.9,"16.6 - 20.0 (51)",8.5,29.5,24.5,14.3,0,0.1,8.8,63.2,25.9,18,29292
48017,"""Bailey, (TX)""",17,"16.6 - 20.0 (51)",8.6,29.2,23.2,16.6,0,1.1,1.5,34.6,62.6,14.3,7098
48019,"""Bandera, (TX)""",13.6,"13.5 - 16.5 (49)",8.1,28.5,21.1,14.6,0.2,0.2,0.9,78.7,17.9,25.5,21316
48021,"""Bastrop, (TX)""",20,"16.6 - 20.0 (51)",8.7,34.5,18.7,13.2,0.4,0.8,7.7,53.7,35.9,13.8,80306
48023,"""Baylor, (TX)""",19.6,"16.6 - 20.0 (51)",9.2,28.7,24.8,17.6,0,0,3.2,83.8,10.1,23.9,3602
48025,"""Bee, (TX)""",29.4,"24.3 - 52.5 (48)",8.9,28.6,24.4,27,0.4,0.4,8.2,32.2,58.2,11.7,32729
48027,"""Bell, (TX)""",18.9,"16.6 - 20.0 (51)",10.3,31.4,24.9,12.9,0.2,3.4,20.9,47.2,24,10,336506
48029,"""Bexar, (TX)""",16.6,"16.6 - 20.0 (51)",9.4,27.9,21,16.3,0.1,2.7,7,28.4,59.7,11.4,1892004
48031,"""Blanco, (TX)""",12.1,"4.4 - 13.4 (52)",8.4,28.7,23.9,10.7,0,0.5,0,77.5,19.1,23.7,11089
48033,"""Borden, (TX)""",19.4,"16.6 - 20.0 (51)",9.3,28.2,21.6,10.6,0,0,0,92.3,7.6,23.6,602
48035,"""Bosque, (TX)""",21.9,"20.1 - 24.2 (52)",8.4,28.8,23.5,15.8,0.3,0.3,1.3,78.6,17.5,24.1,17955
48037,"""Bowie, (TX)""",25.4,"24.3 - 52.5 (48)",11.3,37.7,31.4,19.3,0.8,0.9,23.8,64.4,7.4,15.8,93635
48039,"""Brazoria, (TX)""",17.8,"16.6 - 20.0 (51)",10.3,29.5,20.5,9.9,0.3,6.2,12.9,49,29.6,11.1,345995
48041,"""Brazos, (TX)""",17.9,"16.6 - 20.0 (51)",9.4,29.4,20.4,24.9,0.1,6,10.1,56.6,25,8.5,214231
48043,"""Brewster, (TX)""",10.7,"4.4 - 13.4 (52)",8.9,28.5,25.6,14.9,1.6,1,0.1,51.7,44.2,20.2,9220
48045,"""Briscoe, (TX)""",11.5,"4.4 - 13.4 (52)",8.6,27.2,23.4,15.4,0,1,1.6,60.5,32.2,23.1,1591
