"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",13.6,"12.6 - 15.4 (35)"
48003,"""Andrews, (TX)""",19.2,"18.3 - 21.3 (36)"
48005,"""Angelina, (TX)""",17.5,"15.5 - 18.2 (36)"
48007,"""Aransas, (TX)""",9,"4.0 - 12.5 (38)"
48009,"""Archer, (TX)""",14.7,"12.6 - 15.4 (35)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",23.7,"21.4 - 41.8 (36)"
48015,"""Austin, (TX)""",14.1,"12.6 - 15.4 (35)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",16.4,"15.5 - 18.2 (36)"
48021,"""Bastrop, (TX)""",20.3,"18.3 - 21.3 (36)"
48023,"""Baylor, (TX)""",-1,
48025,"""Bee, (TX)""",27.5,"21.4 - 41.8 (36)"
48027,"""Bell, (TX)""",17.8,"15.5 - 18.2 (36)"
48029,"""Bexar, (TX)""",13.7,"12.6 - 15.4 (35)"
48031,"""Blanco, (TX)""",8.3,"4.0 - 12.5 (38)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",13.7,"12.6 - 15.4 (35)"
48037,"""Bowie, (TX)""",18.2,"15.5 - 18.2 (36)"
48039,"""Brazoria, (TX)""",16.7,"15.5 - 18.2 (36)"
48041,"""Brazos, (TX)""",14.7,"12.6 - 15.4 (35)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",27.5,"21.4 - 41.8 (36)"
48049,"""Brown, (TX)""",14.7,"12.6 - 15.4 (35)"
48051,"""Burleson, (TX)""",13.3,"12.6 - 15.4 (35)"
48053,"""Burnet, (TX)""",7.8,"4.0 - 12.5 (38)"
48055,"""Caldwell, (TX)""",12.5,"4.0 - 12.5 (38)"
48057,"""Calhoun, (TX)""",5.6,"4.0 - 12.5 (38)"
48059,"""Callahan, (TX)""",9.4,"4.0 - 12.5 (38)"
48061,"""Cameron, (TX)""",18.5,"18.3 - 21.3 (36)"
48063,"""Camp, (TX)""",9.4,"4.0 - 12.5 (38)"
48065,"""Carson, (TX)""",20.7,"18.3 - 21.3 (36)"
48067,"""Cass, (TX)""",21,"18.3 - 21.3 (36)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",11.1,"4.0 - 12.5 (38)"
48073,"""Cherokee, (TX)""",16.2,"15.5 - 18.2 (36)"
48075,"""Childress, (TX)""",19.1,"18.3 - 21.3 (36)"
48077,"""Clay, (TX)""",-1,
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",14.8,"12.6 - 15.4 (35)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",14.7,"12.6 - 15.4 (35)"
48091,"""Comal, (TX)""",9.4,"4.0 - 12.5 (38)"
48093,"""Comanche, (TX)""",19.2,"18.3 - 21.3 (36)"
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",17.7,"15.5 - 18.2 (36)"
48099,"""Coryell, (TX)""",20.1,"18.3 - 21.3 (36)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",-1,
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",11.5,"4.0 - 12.5 (38)"
48113,"""Dallas, (TX)""",12.6,"12.6 - 15.4 (35)"
48115,"""Dawson, (TX)""",18.9,"18.3 - 21.3 (36)"
48117,"""Deaf Smith, (TX)""",13.1,"12.6 - 15.4 (35)"
48119,"""Delta, (TX)""",-1,
48121,"""Denton, (TX)""",15.2,"12.6 - 15.4 (35)"
48123,"""DeWitt, (TX)""",16.4,"15.5 - 18.2 (36)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",38.3,"21.4 - 41.8 (36)"
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",21.4,"21.4 - 41.8 (36)"
48133,"""Eastland, (TX)""",26.7,"21.4 - 41.8 (36)"
48135,"""Ector, (TX)""",20,"18.3 - 21.3 (36)"
48137,"""Edwards, (TX)""",18.2,"15.5 - 18.2 (36)"
48139,"""Ellis, (TX)""",15,"12.6 - 15.4 (35)"
48141,"""El Paso, (TX)""",9.6,"4.0 - 12.5 (38)"
48143,"""Erath, (TX)""",16.4,"15.5 - 18.2 (36)"
48145,"""Falls, (TX)""",14.6,"12.6 - 15.4 (35)"
48147,"""Fannin, (TX)""",9.5,"4.0 - 12.5 (38)"
48149,"""Fayette, (TX)""",15.8,"15.5 - 18.2 (36)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",12.3,"4.0 - 12.5 (38)"
48159,"""Franklin, (TX)""",22.3,"21.4 - 41.8 (36)"
48161,"""Freestone, (TX)""",31.2,"21.4 - 41.8 (36)"
48163,"""Frio, (TX)""",29.6,"21.4 - 41.8 (36)"
48165,"""Gaines, (TX)""",-1,
48167,"""Galveston, (TX)""",17.7,"15.5 - 18.2 (36)"
48169,"""Garza, (TX)""",20.9,"18.3 - 21.3 (36)"
48171,"""Gillespie, (TX)""",8.7,"4.0 - 12.5 (38)"
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",26.4,"21.4 - 41.8 (36)"
48177,"""Gonzales, (TX)""",14.2,"12.6 - 15.4 (35)"
48179,"""Gray, (TX)""",13.9,"12.6 - 15.4 (35)"
48181,"""Grayson, (TX)""",12.5,"4.0 - 12.5 (38)"
48183,"""Gregg, (TX)""",17.3,"15.5 - 18.2 (36)"
48185,"""Grimes, (TX)""",8.7,"4.0 - 12.5 (38)"
48187,"""Guadalupe, (TX)""",18,"15.5 - 18.2 (36)"
48189,"""Hale, (TX)""",17.1,"15.5 - 18.2 (36)"
48191,"""Hall, (TX)""",-1,
48193,"""Hamilton, (TX)""",41.8,"21.4 - 41.8 (36)"
48195,"""Hansford, (TX)""",-1,
48197,"""Hardeman, (TX)""",17.3,"15.5 - 18.2 (36)"
48199,"""Hardin, (TX)""",15.3,"12.6 - 15.4 (35)"
48201,"""Harris, (TX)""",14.2,"12.6 - 15.4 (35)"
