"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",14.6,"13.9 - 16.5 (36)"
48003,"""Andrews, (TX)""",21.9,"19.6 - 22.7 (37)"
48005,"""Angelina, (TX)""",20.1,"19.6 - 22.7 (37)"
48007,"""Aransas, (TX)""",16.1,"13.9 - 16.5 (36)"
48009,"""Archer, (TX)""",20.6,"19.6 - 22.7 (37)"
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",16.4,"13.9 - 16.5 (36)"
48015,"""Austin, (TX)""",16.7,"16.6 - 19.5 (35)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",11.1,"7.3 - 13.8 (36)"
48021,"""Bastrop, (TX)""",16.3,"13.9 - 16.5 (36)"
48023,"""Baylor, (TX)""",30.1,"22.8 - 50.9 (34)"
48025,"""Bee, (TX)""",27,"22.8 - 50.9 (34)"
48027,"""Bell, (TX)""",16.7,"16.6 - 19.5 (35)"
48029,"""Bexar, (TX)""",15.1,"13.9 - 16.5 (36)"
48031,"""Blanco, (TX)""",13.6,"7.3 - 13.8 (36)"
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",18,"16.6 - 19.5 (35)"
48037,"""Bowie, (TX)""",19.4,"16.6 - 19.5 (35)"
48039,"""Brazoria, (TX)""",16.8,"16.6 - 19.5 (35)"
48041,"""Brazos, (TX)""",15.1,"13.9 - 16.5 (36)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",21.6,"19.6 - 22.7 (37)"
48049,"""Brown, (TX)""",15.2,"13.9 - 16.5 (36)"
48051,"""Burleson, (TX)""",17.9,"16.6 - 19.5 (35)"
48053,"""Burnet, (TX)""",11.8,"7.3 - 13.8 (36)"
48055,"""Caldwell, (TX)""",14.6,"13.9 - 16.5 (36)"
48057,"""Calhoun, (TX)""",8.9,"7.3 - 13.8 (36)"
48059,"""Callahan, (TX)""",13.7,"7.3 - 13.8 (36)"
48061,"""Cameron, (TX)""",17.5,"16.6 - 19.5 (35)"
48063,"""Camp, (TX)""",12,"7.3 - 13.8 (36)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",16.8,"16.6 - 19.5 (35)"
48069,"""Castro, (TX)""",-1,
