"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",18.2,"11.4 - 21.0 (9)"
48003,"""Andrews, (TX)""",-1,
48005,"""Angelina, (TX)""",23.9,"23.6 - 25.5 (8)"
48007,"""Aransas, (TX)""",-1,
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",-1,
48015,"""Austin, (TX)""",-1,
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",-1,
48021,"""Bastrop, (TX)""",-1,
48023,"""Baylor, (TX)""",-1,
48025,"""Bee, (TX)""",-1,
48027,"""Bell, (TX)""",28.5,"25.6 - 29.6 (9)"
48029,"""Bexar, (TX)""",12.8,"11.4 - 21.0 (9)"
48031,"""Blanco, (TX)""",-1,
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",-1,
48037,"""Bowie, (TX)""",28.9,"25.6 - 29.6 (9)"
48039,"""Brazoria, (TX)""",21.2,"21.1 - 23.5 (10)"
48041,"""Brazos, (TX)""",22,"21.1 - 23.5 (10)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",-1,
48049,"""Brown, (TX)""",-1,
48051,"""Burleson, (TX)""",-1,
48053,"""Burnet, (TX)""",-1,
48055,"""Caldwell, (TX)""",-1,
48057,"""Calhoun, (TX)""",-1,
48059,"""Callahan, (TX)""",-1,
48061,"""Cameron, (TX)""",-1,
48063,"""Camp, (TX)""",-1,
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",28.2,"25.6 - 29.6 (9)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",-1,
48073,"""Cherokee, (TX)""",-1,
48075,"""Childress, (TX)""",-1,
48077,"""Clay, (TX)""",-1,
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",28.4,"25.6 - 29.6 (9)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",-1,
48091,"""Comal, (TX)""",-1,
48093,"""Comanche, (TX)""",-1,
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",-1,
48099,"""Coryell, (TX)""",-1,
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",-1,
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",-1,
48113,"""Dallas, (TX)""",24.7,"23.6 - 25.5 (8)"
48115,"""Dawson, (TX)""",-1,
48117,"""Deaf Smith, (TX)""",-1,
48119,"""Delta, (TX)""",-1,
48121,"""Denton, (TX)""",18.4,"11.4 - 21.0 (9)"
48123,"""DeWitt, (TX)""",-1,
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",-1,
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",-1,
48133,"""Eastland, (TX)""",-1,
48135,"""Ector, (TX)""",-1,
48137,"""Edwards, (TX)""",-1,
48139,"""Ellis, (TX)""",24.5,"23.6 - 25.5 (8)"
48141,"""El Paso, (TX)""",11.4,"11.4 - 21.0 (9)"
48143,"""Erath, (TX)""",-1,
48145,"""Falls, (TX)""",37.1,"29.7 - 81.2 (9)"
48147,"""Fannin, (TX)""",-1,
48149,"""Fayette, (TX)""",-1,
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",25,"23.6 - 25.5 (8)"
48159,"""Franklin, (TX)""",-1,
48161,"""Freestone, (TX)""",-1,
48163,"""Frio, (TX)""",-1,
48165,"""Gaines, (TX)""",-1,
48167,"""Galveston, (TX)""",29.1,"25.6 - 29.6 (9)"
48169,"""Garza, (TX)""",-1,
48171,"""Gillespie, (TX)""",-1,
48173,"""Glasscock, (TX)""",-1,
48175,"""Goliad, (TX)""",-1,
48177,"""Gonzales, (TX)""",-1,
48179,"""Gray, (TX)""",-1,
48181,"""Grayson, (TX)""",32.1,"29.7 - 81.2 (9)"
48183,"""Gregg, (TX)""",25.5,"23.6 - 25.5 (8)"
48185,"""Grimes, (TX)""",-1,
48187,"""Guadalupe, (TX)""",-1,
48189,"""Hale, (TX)""",-1,
48191,"""Hall, (TX)""",-1,
48193,"""Hamilton, (TX)""",-1,
48195,"""Hansford, (TX)""",-1,
48197,"""Hardeman, (TX)""",-1,
48199,"""Hardin, (TX)""",-1,
48201,"""Harris, (TX)""",23.5,"21.1 - 23.5 (10)"
48203,"""Harrison, (TX)""",21,"11.4 - 21.0 (9)"
48205,"""Hartley, (TX)""",-1,
48207,"""Haskell, (TX)""",-1,
48209,"""Hays, (TX)""",-1,
48211,"""Hemphill, (TX)""",-1,
48213,"""Henderson, (TX)""",-1,
48215,"""Hidalgo, (TX)""",-1,
48217,"""Hill, (TX)""",-1,
48219,"""Hockley, (TX)""",-1,
48221,"""Hood, (TX)""",-1,
48223,"""Hopkins, (TX)""",-1,
48225,"""Houston, (TX)""",37.2,"29.7 - 81.2 (9)"
48227,"""Howard, (TX)""",-1,
48229,"""Hudspeth, (TX)""",-1,
48231,"""Hunt, (TX)""",-1,
48233,"""Hutchinson, (TX)""",-1,
48235,"""Irion, (TX)""",-1,
48237,"""Jack, (TX)""",-1,
48239,"""Jackson, (TX)""",-1,
48241,"""Jasper, (TX)""",29.6,"25.6 - 29.6 (9)"
48243,"""Jeff Davis, (TX)""",-1,
48245,"""Jefferson, (TX)""",21.7,"21.1 - 23.5 (10)"
48247,"""Jim Hogg, (TX)""",-1,
48249,"""Jim Wells, (TX)""",-1,
48251,"""Johnson, (TX)""",-1,
48253,"""Jones, (TX)""",-1,
48255,"""Karnes, (TX)""",-1,
48257,"""Kaufman, (TX)""",-1,
48259,"""Kendall, (TX)""",-1,
48261,"""Kenedy, (TX)""",-1,
48263,"""Kent, (TX)""",-1,
48265,"""Kerr, (TX)""",-1,
48267,"""Kimble, (TX)""",-1,
48269,"""King, (TX)""",-1,
48271,"""Kinney, (TX)""",-1,
48273,"""Kleberg, (TX)""",-1,
48275,"""Knox, (TX)""",-1,
48277,"""Lamar, (TX)""",30.9,"29.7 - 81.2 (9)"
48279,"""Lamb, (TX)""",-1,
48281,"""Lampasas, (TX)""",-1,
48283,"""La Salle, (TX)""",-1,
48285,"""Lavaca, (TX)""",-1,
