"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",121.2,"105.0 - 208.8 (22)"
48003,"""Andrews, (TX)""",-1,
48005,"""Angelina, (TX)""",104.5,"94.5 - 104.9 (22)"
48007,"""Aransas, (TX)""",-1,
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",-1,
48015,"""Austin, (TX)""",101.8,"94.5 - 104.9 (22)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",-1,
48021,"""Bastrop, (TX)""",89.1,"84.5 - 94.4 (23)"
48023,"""Baylor, (TX)""",-1,
48025,"""Bee, (TX)""",-1,
48027,"""Bell, (TX)""",121.3,"105.0 - 208.8 (22)"
48029,"""Bexar, (TX)""",53.3,"43.5 - 75.7 (23)"
48031,"""Blanco, (TX)""",-1,
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",-1,
48037,"""Bowie, (TX)""",94.7,"94.5 - 104.9 (22)"
48039,"""Brazoria, (TX)""",83,"75.8 - 84.4 (22)"
48041,"""Brazos, (TX)""",90.4,"84.5 - 94.4 (23)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",-1,
48049,"""Brown, (TX)""",70.8,"43.5 - 75.7 (23)"
48051,"""Burleson, (TX)""",81.8,"75.8 - 84.4 (22)"
48053,"""Burnet, (TX)""",-1,
48055,"""Caldwell, (TX)""",142.5,"105.0 - 208.8 (22)"
48057,"""Calhoun, (TX)""",81.6,"75.8 - 84.4 (22)"
48059,"""Callahan, (TX)""",-1,
48061,"""Cameron, (TX)""",66.3,"43.5 - 75.7 (23)"
48063,"""Camp, (TX)""",54.8,"43.5 - 75.7 (23)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",99.4,"94.5 - 104.9 (22)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",68,"43.5 - 75.7 (23)"
48073,"""Cherokee, (TX)""",84.8,"84.5 - 94.4 (23)"
48075,"""Childress, (TX)""",-1,
48077,"""Clay, (TX)""",-1,
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",83.1,"75.8 - 84.4 (22)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",93.5,"84.5 - 94.4 (23)"
48091,"""Comal, (TX)""",48.5,"43.5 - 75.7 (23)"
48093,"""Comanche, (TX)""",-1,
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",120.2,"105.0 - 208.8 (22)"
48099,"""Coryell, (TX)""",75.7,"43.5 - 75.7 (23)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",-1,
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",-1,
48113,"""Dallas, (TX)""",89.3,"84.5 - 94.4 (23)"
48115,"""Dawson, (TX)""",-1,
48117,"""Deaf Smith, (TX)""",-1,
48119,"""Delta, (TX)""",-1,
48121,"""Denton, (TX)""",99.8,"94.5 - 104.9 (22)"
48123,"""DeWitt, (TX)""",98.8,"94.5 - 104.9 (22)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",-1,
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",-1,
48133,"""Eastland, (TX)""",-1,
48135,"""Ector, (TX)""",86.1,"84.5 - 94.4 (23)"
48137,"""Edwards, (TX)""",-1,
48139,"""Ellis, (TX)""",88,"84.5 - 94.4 (23)"
48141,"""El Paso, (TX)""",43.5,"43.5 - 75.7 (23)"
48143,"""Erath, (TX)""",-1,
48145,"""Falls, (TX)""",137.6,"105.0 - 208.8 (22)"
48147,"""Fannin, (TX)""",78.5,"75.8 - 84.4 (22)"
48149,"""Fayette, (TX)""",74.6,"43.5 - 75.7 (23)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
48157,"""Fort Bend, (TX)""",94.4,"84.5 - 94.4 (23)"
