"cnty_fips","display_name","Value","theme_range"
48001,"""Anderson, (TX)""",103.9,"99.6 - 136.5 (21)"
48003,"""Andrews, (TX)""",-1,
48005,"""Angelina, (TX)""",102.3,"99.6 - 136.5 (21)"
48007,"""Aransas, (TX)""",-1,
48009,"""Archer, (TX)""",-1,
48011,"""Armstrong, (TX)""",-1,
48013,"""Atascosa, (TX)""",-1,
48015,"""Austin, (TX)""",71,"38.6 - 73.7 (22)"
48017,"""Bailey, (TX)""",-1,
48019,"""Bandera, (TX)""",-1,
48021,"""Bastrop, (TX)""",94.1,"90.6 - 99.5 (21)"
48023,"""Baylor, (TX)""",-1,
48025,"""Bee, (TX)""",-1,
48027,"""Bell, (TX)""",106.9,"99.6 - 136.5 (21)"
48029,"""Bexar, (TX)""",40.5,"38.6 - 73.7 (22)"
48031,"""Blanco, (TX)""",-1,
48033,"""Borden, (TX)""",-1,
48035,"""Bosque, (TX)""",-1,
48037,"""Bowie, (TX)""",80.5,"73.8 - 83.3 (21)"
48039,"""Brazoria, (TX)""",83,"73.8 - 83.3 (21)"
48041,"""Brazos, (TX)""",100.4,"99.6 - 136.5 (21)"
48043,"""Brewster, (TX)""",-1,
48045,"""Briscoe, (TX)""",-1,
48047,"""Brooks, (TX)""",-1,
48049,"""Brown, (TX)""",-1,
48051,"""Burleson, (TX)""",98.1,"90.6 - 99.5 (21)"
48053,"""Burnet, (TX)""",-1,
48055,"""Caldwell, (TX)""",93.6,"90.6 - 99.5 (21)"
48057,"""Calhoun, (TX)""",75.8,"73.8 - 83.3 (21)"
48059,"""Callahan, (TX)""",-1,
48061,"""Cameron, (TX)""",103.6,"99.6 - 136.5 (21)"
48063,"""Camp, (TX)""",38.6,"38.6 - 73.7 (22)"
48065,"""Carson, (TX)""",-1,
48067,"""Cass, (TX)""",94.4,"90.6 - 99.5 (21)"
48069,"""Castro, (TX)""",-1,
48071,"""Chambers, (TX)""",86,"83.4 - 90.5 (21)"
48073,"""Cherokee, (TX)""",87,"83.4 - 90.5 (21)"
48075,"""Childress, (TX)""",-1,
48077,"""Clay, (TX)""",-1,
48079,"""Cochran, (TX)""",-1,
48081,"""Coke, (TX)""",-1,
48083,"""Coleman, (TX)""",-1,
48085,"""Collin, (TX)""",77.3,"73.8 - 83.3 (21)"
48087,"""Collingsworth, (TX)""",-1,
48089,"""Colorado, (TX)""",74.8,"73.8 - 83.3 (21)"
48091,"""Comal, (TX)""",52.7,"38.6 - 73.7 (22)"
48093,"""Comanche, (TX)""",-1,
48095,"""Concho, (TX)""",-1,
48097,"""Cooke, (TX)""",-1,
48099,"""Coryell, (TX)""",89.8,"83.4 - 90.5 (21)"
48101,"""Cottle, (TX)""",-1,
48103,"""Crane, (TX)""",-1,
48105,"""Crockett, (TX)""",-1,
48107,"""Crosby, (TX)""",-1,
48109,"""Culberson, (TX)""",-1,
48111,"""Dallam, (TX)""",-1,
48113,"""Dallas, (TX)""",83.9,"83.4 - 90.5 (21)"
48115,"""Dawson, (TX)""",-1,
48117,"""Deaf Smith, (TX)""",-1,
48119,"""Delta, (TX)""",-1,
48121,"""Denton, (TX)""",91.7,"90.6 - 99.5 (21)"
48123,"""DeWitt, (TX)""",92.4,"90.6 - 99.5 (21)"
48125,"""Dickens, (TX)""",-1,
48127,"""Dimmit, (TX)""",-1,
48129,"""Donley, (TX)""",-1,
48131,"""Duval, (TX)""",-1,
48133,"""Eastland, (TX)""",-1,
48135,"""Ector, (TX)""",81.8,"73.8 - 83.3 (21)"
48137,"""Edwards, (TX)""",-1,
48139,"""Ellis, (TX)""",80.7,"73.8 - 83.3 (21)"
48141,"""El Paso, (TX)""",41.6,"38.6 - 73.7 (22)"
48143,"""Erath, (TX)""",-1,
48145,"""Falls, (TX)""",94.4,"90.6 - 99.5 (21)"
48147,"""Fannin, (TX)""",99.5,"90.6 - 99.5 (21)"
48149,"""Fayette, (TX)""",50.6,"38.6 - 73.7 (22)"
48151,"""Fisher, (TX)""",-1,
48153,"""Floyd, (TX)""",-1,
48155,"""Foard, (TX)""",-1,
