"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","no_hsdip","no_college","female_hd","foodstmp","home_val","income","GINI","povpct","unemploy"
48001,"""Anderson, (TX)""",71.1,"65.9 - 103.1 (50)",10.2,34.3,24.9,19.8,87.6,10.6,12.3,91.8,44,0.437,20.5,3.6
48003,"""Andrews, (TX)""",45.7,"42.5 - 50.7 (49)",8.8,32.1,24.2,25.4,90.2,9.4,9.6,126,60.6,0.454,11.7,3.4
48005,"""Angelina, (TX)""",63.6,"58.8 - 65.8 (50)",12.1,40,32.4,18.9,83.3,15.7,16.3,97.3,43.7,0.453,19,5.4
48007,"""Aransas, (TX)""",37,"19.6 - 42.4 (52)",10.2,32.1,22.8,16.4,80.5,7.1,13.2,158.9,44.9,0.521,18.8,5.7
48009,"""Archer, (TX)""",56.6,"50.8 - 58.7 (51)",9,27.6,21.8,8.8,76.4,6.4,7,125.6,58.9,0.439,10.5,3.8
48011,"""Armstrong, (TX)""",51.6,"50.8 - 58.7 (51)",8.8,29.3,22.6,10.1,76.4,6,4.1,128.6,54.9,0.378,10.8,2.3
48013,"""Atascosa, (TX)""",54.6,"50.8 - 58.7 (51)",10.6,33.8,31.5,24.2,85.7,16.8,17.8,96.1,53.6,0.438,16.3,4.3
48015,"""Austin, (TX)""",46.9,"42.5 - 50.7 (49)",8.5,29.5,24.5,17.8,77.7,9.9,9.6,175.2,56,0.442,14.3,4.7
48017,"""Bailey, (TX)""",41.9,"19.6 - 42.4 (52)",8.6,29.2,23.2,29.7,85.6,13.3,15,68,40.5,0.42,16.6,4.4
48019,"""Bandera, (TX)""",38.7,"19.6 - 42.4 (52)",8.1,28.5,21.1,13,76.2,9.6,9.8,165.9,55.9,0.427,14.6,3.6
48021,"""Bastrop, (TX)""",60.3,"58.8 - 65.8 (50)",8.7,34.5,18.7,19.3,79.7,11.4,13.5,150.3,56.4,0.412,13.2,3.5
48023,"""Baylor, (TX)""",69,"65.9 - 103.1 (50)",9.2,28.7,24.8,12.2,75.2,8.2,14.1,67.2,36.6,0.562,17.6,3.6
48025,"""Bee, (TX)""",76.7,"65.9 - 103.1 (50)",8.9,28.6,24.4,27.3,90.8,17.4,15,78.5,40.8,0.469,27,6.8
48027,"""Bell, (TX)""",81.6,"65.9 - 103.1 (50)",10.3,31.4,24.9,9.3,75.8,14.8,14.5,137.1,52,0.43,12.9,4.3
48029,"""Bexar, (TX)""",42.4,"19.6 - 42.4 (52)",9.4,27.9,21,16.3,72.7,16.2,15.7,142.3,53.2,0.466,16.3,3.6
48031,"""Blanco, (TX)""",35.3,"19.6 - 42.4 (52)",8.4,28.7,23.9,10.1,71.5,9.2,6.2,230.8,57.6,0.448,10.7,2.9
48033,"""Borden, (TX)""",59.3,"58.8 - 65.8 (50)",9.3,28.2,21.6,5.5,61.2,6.5,6.3,106.9,60.3,0.433,10.6,2.5
48035,"""Bosque, (TX)""",49.5,"42.5 - 50.7 (49)",8.4,28.8,23.5,15.8,81.6,8.8,11.7,106.7,47.6,0.442,15.8,4.3
48037,"""Bowie, (TX)""",71.4,"65.9 - 103.1 (50)",11.3,37.7,31.4,12.6,80.8,16,15.9,109.4,45.5,0.497,19.3,4.8
48039,"""Brazoria, (TX)""",68.3,"65.9 - 103.1 (50)",10.3,29.5,20.5,12.5,70.3,11.2,8.3,164.3,74.5,0.422,9.9,5.3
48041,"""Brazos, (TX)""",50.3,"42.5 - 50.7 (49)",9.4,29.4,20.4,14.1,60.4,12,9.3,170.5,42.3,0.518,24.9,3
48043,"""Brewster, (TX)""",28.1,"19.6 - 42.4 (52)",8.9,28.5,25.6,14.9,64.3,8.1,10.6,113.4,43.1,0.47,14.9,3.6
48045,"""Briscoe, (TX)""",32,"19.6 - 42.4 (52)",8.6,27.2,23.4,19.4,78.1,11.1,8.3,65.7,43.4,0.417,15.4,5.5
48047,"""Brooks, (TX)""",93.8,"65.9 - 103.1 (50)",9.1,29.5,22.2,31.9,85.3,24.5,37.4,61.9,27.7,0.511,32.2,8.9
48049,"""Brown, (TX)""",36.3,"19.6 - 42.4 (52)",9.9,32.6,27.2,14.4,82.2,8.5,13.8,95.1,43.8,0.481,17.1,4
48051,"""Burleson, (TX)""",62.3,"58.8 - 65.8 (50)",8.9,30.2,25.7,18.6,85.2,10.9,12.4,99.5,48.5,0.448,14.4,4.1
48053,"""Burnet, (TX)""",38.5,"19.6 - 42.4 (52)",8.8,28.8,25,12.7,75.9,8.4,9.3,171.1,55.9,0.453,11.5,3.2
48055,"""Caldwell, (TX)""",55.3,"50.8 - 58.7 (51)",9.7,28.9,26.8,20.7,85.7,15.8,15.1,124.3,49.6,0.436,16.6,3.9
