"","cnty_fips","display_name","Y","theme_range","X","year","E","SIR"
"1",48001,"""Anderson, (TX)""",71.1,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.3
"2",48003,"""Andrews, (TX)""",45.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.84
"3",48005,"""Angelina, (TX)""",63.6,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.17
"4",48007,"""Aransas, (TX)""",37,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.68
"5",48009,"""Archer, (TX)""",56.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.04
"6",48011,"""Armstrong, (TX)""",51.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.95
"7",48013,"""Atascosa, (TX)""",54.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1
"8",48015,"""Austin, (TX)""",46.9,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.86
"9",48017,"""Bailey, (TX)""",41.9,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.77
"10",48019,"""Bandera, (TX)""",38.7,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.71
"11",48021,"""Bastrop, (TX)""",60.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.11
"12",48023,"""Baylor, (TX)""",69,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.27
"13",48025,"""Bee, (TX)""",76.7,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.41
"14",48027,"""Bell, (TX)""",81.6,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.5
"15",48029,"""Bexar, (TX)""",42.4,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.78
"16",48031,"""Blanco, (TX)""",35.3,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.65
"17",48033,"""Borden, (TX)""",59.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.09
"18",48035,"""Bosque, (TX)""",49.5,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.91
"19",48037,"""Bowie, (TX)""",71.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.31
"20",48039,"""Brazoria, (TX)""",68.3,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.25
"21",48041,"""Brazos, (TX)""",50.3,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.92
"22",48043,"""Brewster, (TX)""",28.1,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.52
"23",48045,"""Briscoe, (TX)""",32,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.59
"24",48047,"""Brooks, (TX)""",93.8,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.72
"25",48049,"""Brown, (TX)""",36.3,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.67
"26",48051,"""Burleson, (TX)""",62.3,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.14
"27",48053,"""Burnet, (TX)""",38.5,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.71
"28",48055,"""Caldwell, (TX)""",55.3,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.01
"29",48057,"""Calhoun, (TX)""",42,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.77
"30",48059,"""Callahan, (TX)""",59.8,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"31",48061,"""Cameron, (TX)""",53.5,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.98
"32",48063,"""Camp, (TX)""",47.5,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.87
"33",48065,"""Carson, (TX)""",46.6,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.86
"34",48067,"""Cass, (TX)""",81.2,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.49
"35",48069,"""Castro, (TX)""",44.4,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.81
"36",48071,"""Chambers, (TX)""",60,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"37",48073,"""Cherokee, (TX)""",58.7,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.08
"38",48075,"""Childress, (TX)""",40.5,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.74
"39",48077,"""Clay, (TX)""",59.7,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"40",48079,"""Cochran, (TX)""",62.4,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.15
"41",48081,"""Coke, (TX)""",52.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.96
